location,target_end_date,quantile,value,forecast_date,target,type
1,2023-05-04,0.95,39.49774772,2023-05-08,3 day ahead inc hosp,quantile
1,2023-05-04,0.975,44.0370276,2023-05-08,3 day ahead inc hosp,quantile
1,2023-05-04,0.99,47.10861819,2023-05-08,3 day ahead inc hosp,quantile
1,2023-05-05,0.01,6.141704334,2023-05-08,4 day ahead inc hosp,quantile
1,2023-05-05,0.025,7.748778633,2023-05-08,4 day ahead inc hosp,quantile
1,2023-05-05,0.05,11.28233574,2023-05-08,4 day ahead inc hosp,quantile
1,2023-05-05,0.1,14.03960855,2023-05-08,4 day ahead inc hosp,quantile
1,2023-05-05,0.15,15.70275046,2023-05-08,4 day ahead inc hosp,quantile
1,2023-05-05,0.2,16.99786911,2023-05-08,4 day ahead inc hosp,quantile
1,2023-05-05,0.25,18.41106438,2023-05-08,4 day ahead inc hosp,quantile
1,2023-05-05,0.3,19.57526262,2023-05-08,4 day ahead inc hosp,quantile
1,2023-05-05,0.35,20.37748184,2023-05-08,4 day ahead inc hosp,quantile
1,2023-05-05,0.4,21.23079786,2023-05-08,4 day ahead inc hosp,quantile
1,2023-05-05,0.45,22.40107535,2023-05-08,4 day ahead inc hosp,quantile
1,2023-05-05,0.5,23.34505173,2023-05-08,4 day ahead inc hosp,quantile
1,2023-05-05,0.55,24.49456108,2023-05-08,4 day ahead inc hosp,quantile
1,2023-05-05,0.6,25.59390407,2023-05-08,4 day ahead inc hosp,quantile
1,2023-05-05,0.65,26.81159293,2023-05-08,4 day ahead inc hosp,quantile
1,2023-05-05,0.7,27.96475291,2023-05-08,4 day ahead inc hosp,quantile
1,2023-05-05,0.75,29.3184265,2023-05-08,4 day ahead inc hosp,quantile
1,2023-05-05,0.8,31.14186275,2023-05-08,4 day ahead inc hosp,quantile
1,2023-05-05,0.85,33.16662589,2023-05-08,4 day ahead inc hosp,quantile
1,2023-05-05,0.9,35.83886526,2023-05-08,4 day ahead inc hosp,quantile
